(Intercept),BeutiSTIpjuv,BeutiTUMIpjuv,CSTlarv,CSTpjuv,CutiSTIpjuv,I(CutiSTIpjuv^2),CutiTUMIpjuv,DDben,DDegg,DDlarv,DDpjuv,DDpre,HCIlarv,HCIpjuv,LSTlarv,I(LSTlarv^2),LSTpjuv,LUSI,MLDlarv,MLDpart,MLDpjuv,ONIlarv,I(ONIlarv^2),ONIpjuv,ONIpre,I(ONIpre^2),PDOlarv,PDOpjuv,Tcop,Tpart,R2,F,df,logLik,AICc,delta,weight
0.221497463779701,,,,,-0.218472413966791,-0.303451965646397,,,,,,,,,,,,,,,,,,,,,,,,,0.366332954142841,5.20304252657756,4,-8.30917314992821,27.1183462998564,0,0.0247177093244448
-2.02342132531805,,,,,-0.234574168893067,-0.281939466677489,,,,,,,,,,,,,,,,,,,,,,,0.206698582363202,,0.436333573245813,4.3865605572742,5,-7.08003246486646,28.1600649297329,1.0417186298765,0.0146825637232794
-1.97792826372595,,,,,,,,,,,,,,,,,,,0.160237361568419,,,,,,,,,,,,0.205221278120262,4.906025006637,3,-10.6878440574024,28.7874528206872,1.6691065208308,0.0107291753922278
-1.06827889187177,,,,,-0.229412589917058,-0.269340857524033,,,,,,3.81387903200643e-05,,,,,,,,,,,,,,,,,,,0.416235272910934,4.04044032988555,5,-7.44790419091575,28.8958083818315,1.77746208197508,0.0101633582346231
-0.885468151914082,,,,,-0.197250078383136,-0.242022365629932,,,,,,,,,,,,,0.0871195218196927,,,,,,,,,,,,0.41353675393908,3.99577459410763,5,-7.49632979699909,28.9926595939982,1.87431329414176,0.0096829181376189
0.377215100939222,,,,,-0.261579620349652,-0.282571600168824,,,,,,,-0.315623843376551,,,,,,,,,,,,,,,,,,0.410764048584718,3.95030706525844,5,-7.54585515222216,29.0917103044443,1.97336400458791,0.00921504948478753
-0.524058781807745,,,,,-0.246939442687478,-0.277382962468264,,,,2.58255703028585e-05,,,,,,,,,,,,,,,,,,,,,0.407913349095485,3.90400454844999,5,-7.59653123795793,29.1930624759159,2.07471617605944,0.00875970190620595
0.191306571155971,,,,,-0.20606680776173,-0.291338817874913,,,,,,,,,,,,,,,,,,-0.191678414994224,,,,,,,0.407376918400795,3.89534136612047,5,-7.60603993451819,29.2120798690364,2.09373356917996,0.00867680331221685
0.173478140214177,,,,,-0.251710189469499,-0.277078456610806,,,,,,,,,,,,,,,,,,,,,0.110958813645025,,,,0.402266383927599,3.8135876042932,5,-7.69619936617843,29.3923987323569,2.27405243250045,0.00792873694303173
-0.994887615736254,,,,,-0.247534655175114,-0.279485793785533,,,,,,,,,,,,,,,,,,,,,,,,0.121072114760064,0.398530329715145,3.75470060524073,5,-7.76162396365146,29.5232479273029,2.4049016274465,0.00742660742670658
